hashkey,score,dict_str
f7cfaf1dca999a9963697c13e3ad83ed,0.2428124994039535,"{'1d_start': 4, 'opt': 'adam', 'layers': [[1, 2, 3, 3], [1, 0, 2, 4], [0, 0, 1, 2], [2, 0, 2, 2], [3, 2, 6, 0.8801124325884567], [3, 1, 1, 0.5946983511008932], [4, 1, 8, 0.6309980548438393], [3, 1, 1, 0.2568708351936782]]}"
b22a45265843da84e84c51c750b20693,0.0,"{'1d_start': 5, 'opt': 'adam', 'layers': [[0, 2, 3, 3], [1, 0, 3, 4], [1, 1, 3, 3], [0, 2, 5, 3], [2, 2, 2, 4], [4, 2, 9, 0.2836265521152563], [3, 1, 4, 0.8386881522151836]]}"
3c8eae56670da288f52ad187eaa1766f,0.7228333353996277,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [0, 1, 3, 2], [1, 1, 3, 2], [4, 0, 4, 0.5589606580190838]]}"
4acd44ea8e509a8cc5a3949277f966f2,0.0,"{'1d_start': 7, 'opt': 'SGD', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [0, 2, 5, 2], [2, 0, 3, 4], [2, 1, 2, 2], [0, 2, 2, 3], [0, 1, 1, 4]]}"
d1c2f82c8ab3bf3042586f997b025195,0.0,"{'1d_start': 7, 'opt': 'SGD', 'layers': [[2, 0, 3, 3], [0, 0, 6, 4], [0, 2, 2, 4], [0, 2, 2, 4], [2, 1, 2, 4], [0, 0, 6, 3], [1, 2, 2, 2]]}"
42e34aef8890925388dd27ef92fc6bdc,0.0,"{'1d_start': 7, 'opt': 'adam', 'layers': [[0, 1, 3, 2], [2, 2, 2, 4], [2, 2, 3, 3], [0, 1, 5, 2], [1, 2, 2, 4], [1, 2, 3, 2], [2, 0, 3, 2]]}"
df7934cf32395212c09a98f0a3515b9a,0.0,"{'1d_start': 5, 'opt': 'adam', 'layers': [[2, 0, 2, 2], [2, 2, 3, 2], [1, 2, 2, 2], [1, 2, 2, 4], [2, 0, 2, 3], [3, 1, 1, 0.7580092348221734], [3, 0, 2, 0.07188766083873326], [4, 1, 5, 0.2741597194154927]]}"
f129c521c8bda7e73f1f092fe5c79b2c,0.0,"{'1d_start': 4, 'opt': 'adam', 'layers': [[1, 2, 2, 4], [2, 1, 3, 3], [1, 1, 2, 2], [1, 1, 3, 2], [4, 1, 8, 0.30649102183896165], [3, 0, 7, 0.00655008287986012]]}"
14404d5c6b8534add62186895d7c4f3c,0.0,"{'1d_start': 7, 'opt': 'SGD', 'layers': [[2, 2, 3, 3], [2, 0, 2, 2], [2, 1, 3, 2], [1, 2, 2, 3], [0, 0, 3, 2], [1, 1, 3, 4], [2, 0, 2, 2]]}"
479720c904266547b9f66daa03d5e543,0.7626875042915344,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [1, 1, 3, 2], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
